disciplina;curso;ano;tema;habilidade_codigo;texto_oficial;agrupamento_fonte
Arte;Ensino Fundamental II;6º ano;Contextos e práticas;EF69AR01;Pesquisar, apreciar e analisar formas distintas das artes visuais tradicionais e contemporâneas, em obras de artistas brasileiros e estrangeiros de diferentes épocas e em diferentes matrizes estéticas e culturais, de modo a ampliar a experiência com diferentes contextos e práticas artístico-visuais e cultivar a percepção, o imaginário, a capacidade de simbolizar e o repertório imagético.;objeto_conhecimento
Arte;Ensino Fundamental II;6º ano;Contextos e práticas;EF69AR02;Pesquisar e analisar diferentes estilos visuais, contextualizando-os no tempo e no espaço.;objeto_conhecimento
Arte;Ensino Fundamental II;6º ano;Contextos e práticas;EF69AR03;Analisar situações nas quais as linguagens das artes visuais se integram às linguagens audiovisuais (cinema, animações, vídeos etc.), gráficas (capas de livros, ilustrações de textos diversos etc.), cenográficas, coreográficas, musicais etc.;objeto_conhecimento
Arte;Ensino Fundamental II;6º ano;Elementos da linguagem;EF69AR04;Analisar os elementos constitutivos das artes visuais (ponto, linha, forma, direção, cor, tom, escala, dimensão, espaço, movimento etc.) na apreciação de diferentes produções artísticas.;objeto_conhecimento
Arte;Ensino Fundamental II;6º ano;Materialidades;EF69AR05;Experimentar e analisar diferentes formas de expressão artística (desenho, pintura, colagem, quadrinhos, dobradura, escultura, modelagem, instalação, vídeo, fotografia, performance etc.).;objeto_conhecimento
Arte;Ensino Fundamental II;6º ano;Processos de criação;EF69AR06;Desenvolver processos de criação em artes visuais, com base em temas ou interesses artísticos, de modo individual, coletivo e colaborativo, fazendo uso de materiais, instrumentos e recursos convencionais, alternativos e digitais.;objeto_conhecimento
Arte;Ensino Fundamental II;6º ano;Processos de criação;EF69AR07;Dialogar com princípios conceituais, proposições temáticas, repertórios imagéticos e processos de criação nas suas produções visuais.;objeto_conhecimento
Arte;Ensino Fundamental II;6º ano;Sistemas da linguagem;EF69AR08;Diferenciar as categorias de artista, artesão, produtor cultural, curador, designer, entre outras, estabelecendo relações entre os profissionais do sistema das artes visuais.;objeto_conhecimento
Arte;Ensino Fundamental II;6º ano;Contextos e práticas;EF69AR09;Pesquisar e analisar diferentes formas de expressão, representação e encenação da dança, reconhecendo e apreciando composições de dança de artistas e grupos brasileiros e estrangeiros de diferentes épocas.;objeto_conhecimento
Arte;Ensino Fundamental II;6º ano;Elementos da linguagem;EF69AR10;Explorar elementos constitutivos do movimento cotidiano e do movimento dançado, abordando, criticamente, o desenvolvimento das formas da dança em sua história tradicional e contemporânea.;objeto_conhecimento
